date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:46	69/69	---M--	200	added ('OK')	text/plain	etag:%22653fc-45-497c434db15c0%22	http://projecteuler.net/robots.txt		(from )
11:29:50	609036/609036	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:44%20GMT	http://projecteuler.net/show=all	/home/tarang/euler/offline/euleroff/projecteuler.net/show=all.html	(from )
11:29:51	5822/5822	---M--	200	added ('OK')	text/css	etag:%22653fe-16be-4b7a5992a0f80%22	http://projecteuler.net/style_main.css	/home/tarang/euler/offline/euleroff/projecteuler.net/style_main.css	(from )
11:29:51	1168/1168	---M--	200	added ('OK')	text/css	etag:%2265400-490-4ae44a2ca03c0%22	http://projecteuler.net/style_light.css	/home/tarang/euler/offline/euleroff/projecteuler.net/style_light.css	(from )
11:29:51	5535/5535	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:51%20GMT	http://projecteuler.net/about	/home/tarang/euler/offline/euleroff/projecteuler.net/about.html	(from )
11:29:52	5631/5631	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:51%20GMT	http://projecteuler.net/register	/home/tarang/euler/offline/euleroff/projecteuler.net/register.html	(from )
11:29:52	22481/22481	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:52%20GMT	http://projecteuler.net/problems	/home/tarang/euler/offline/euleroff/projecteuler.net/problems.html	(from )
11:29:53	4670/4670	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:52%20GMT	http://projecteuler.net/login	/home/tarang/euler/offline/euleroff/projecteuler.net/login.html	(from )
11:29:53	3961/3961	---M--	200	added ('OK')	application/xml	etag:%22653ff-f79-4c38d7a72edc0%22	http://projecteuler.net/rss2_euler.xml	/home/tarang/euler/offline/euleroff/projecteuler.net/rss2_euler.xml	(from )
11:29:53	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2016%20Jul%202012%2005:59:53%20GMT	http://projecteuler.net/secure=yes	/home/tarang/euler/offline/euleroff/projecteuler.net/secure=yes.9.delayed	(from )
11:29:54	4612/4612	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:53%20GMT	http://projecteuler.net/problem=1	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=1.html	(from )
11:29:54	4569/4569	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:54%20GMT	http://projecteuler.net/problem=3	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=3.html	(from )
11:29:55	4671/4671	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:55%20GMT	http://projecteuler.net/problem=4	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=4.html	(from )
11:29:56	5041/5041	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:55%20GMT	http://projecteuler.net/problem=6	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=6.html	(from )
11:29:56	4487/4487	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:56%20GMT	http://projecteuler.net/problem=7	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=7.html	(from )
11:29:57	5024/5024	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:57%20GMT	http://projecteuler.net/problem=9	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=9.html	(from )
11:29:58	4590/4590	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:57%20GMT	http://projecteuler.net/problem=10	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=10.html	(from )
11:29:59	5092/5092	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:58%20GMT	http://projecteuler.net/problem=12	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=12.html	(from )
11:30:00	10205/10205	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:59%20GMT	http://projecteuler.net/problem=13	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=13.html	(from )
11:30:00	6352/6352	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2005:59:59%20GMT	http://projecteuler.net/problem=14	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=14.html	(from )
11:30:00	4826/4826	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:00%20GMT	http://projecteuler.net/problem=15	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=15.html	(from )
11:30:01	4479/4479	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:00%20GMT	http://projecteuler.net/problem=16	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=16.html	(from )
11:30:01	4872/4872	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:00%20GMT	http://projecteuler.net/problem=17	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=17.html	(from )
11:30:01	5719/5719	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:01%20GMT	http://projecteuler.net/problem=18	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=18.html	(from )
11:30:02	5423/5423	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:01%20GMT	http://projecteuler.net/index.php?section=problems&id=67	/home/tarang/euler/offline/euleroff/projecteuler.net/indexf934.html	(from )
11:30:02	4919/4919	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:02%20GMT	http://projecteuler.net/problem=19	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=19.html	(from )
11:30:03	5840/5840	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:02%20GMT	http://projecteuler.net/problem=20	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=20.html	(from )
11:30:03	5030/5030	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:03%20GMT	http://projecteuler.net/problem=21	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=21.html	(from )
11:30:03	5047/5047	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:03%20GMT	http://projecteuler.net/problem=22	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=22.html	(from )
11:30:04	5498/5498	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:03%20GMT	http://projecteuler.net/problem=23	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=23.html	(from )
11:30:04	4840/4840	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:04%20GMT	http://projecteuler.net/problem=24	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=24.html	(from )
11:30:05	5307/5307	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:04%20GMT	http://projecteuler.net/problem=25	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=25.html	(from )
11:30:05	5616/5616	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202012%2006:00:05%20GMT	http://projecteuler.net/problem=26	/home/tarang/euler/offline/euleroff/projecteuler.net/problem=26.html	(from )
